emotion,filename
Fearful,285.wav
Sad,286.wav
Disgusted,287.wav
Sad,288.wav
Fearful,289.wav
Neutral,290.wav
Disgusted,291.wav
Happy,292.wav
Angry,293.wav
Sad,294.wav
Angry,295.wav
Angry,296.wav
Sad,297.wav
Angry,298.wav
Happy,299.wav
Angry,300.wav
Fearful,301.wav
Angry,302.wav
Disgusted,303.wav
Disgusted,304.wav
Fearful,305.wav
Sad,306.wav
Sad,307.wav
Neutral,308.wav
Sad,309.wav
Neutral,310.wav
Sad,311.wav
Neutral,312.wav
Sad,313.wav
Angry,314.wav
Happy,315.wav
Neutral,316.wav
Disgusted,317.wav
Disgusted,318.wav
Angry,319.wav
Sad,320.wav
Happy,321.wav
Angry,322.wav
Sad,323.wav
Neutral,324.wav
Disgusted,325.wav
Fearful,326.wav
Neutral,327.wav
Sad,328.wav
Sad,329.wav
Neutral,330.wav
Neutral,331.wav
Sad,332.wav
Happy,333.wav
Neutral,334.wav
Disgusted,335.wav
Happy,336.wav
Sad,337.wav
Angry,338.wav
Sad,339.wav
Fearful,340.wav
Neutral,341.wav
Sad,342.wav
Fearful,343.wav
Neutral,344.wav
Neutral,345.wav
Angry,346.wav
Happy,347.wav
Fearful,348.wav
Angry,349.wav
Sad,350.wav
Angry,351.wav
Angry,352.wav
Neutral,353.wav
Disgusted,354.wav
Disgusted,355.wav
Neutral,356.wav
Neutral,357.wav
Angry,358.wav
Happy,359.wav
Neutral,360.wav
Fearful,361.wav
Fearful,362.wav
Angry,363.wav
Suprised,364.wav
Sad,365.wav
Neutral,366.wav
Angry,367.wav
Fearful,368.wav
Disgusted,369.wav
Fearful,370.wav
Neutral,371.wav
Happy,372.wav
Suprised,373.wav
Sad,374.wav
Angry,375.wav
Disgusted,376.wav
Neutral,377.wav
Angry,378.wav
Sad,379.wav
Disgusted,380.wav
Sad,381.wav
Sad,382.wav
Sad,383.wav
Happy,384.wav
Sad,385.wav
Happy,386.wav
Neutral,387.wav
Neutral,388.wav
Happy,389.wav
Neutral,390.wav
Happy,391.wav
Fearful,392.wav
Fearful,393.wav
Suprised,394.wav
Angry,395.wav
Suprised,396.wav
Disgusted,397.wav
Neutral,398.wav
Angry,399.wav
Angry,400.wav
Disgusted,401.wav
Angry,402.wav
Disgusted,403.wav
Sad,404.wav
Neutral,405.wav
Angry,406.wav
Sad,407.wav
Neutral,408.wav
Disgusted,409.wav
Happy,410.wav
Disgusted,411.wav
Happy,412.wav
Angry,413.wav
Fearful,414.wav
Fearful,415.wav
Sad,416.wav
Neutral,417.wav
Neutral,418.wav
Neutral,419.wav
Fearful,420.wav
Neutral,421.wav
Suprised,422.wav
Sad,423.wav
Happy,424.wav
Angry,425.wav
Happy,426.wav
Fearful,427.wav
Fearful,428.wav
Disgusted,429.wav
Angry,430.wav
Disgusted,431.wav
Neutral,432.wav
Disgusted,433.wav
Sad,434.wav
Happy,435.wav
Happy,436.wav
Happy,437.wav
Sad,438.wav
Happy,439.wav
Sad,440.wav
Fearful,441.wav
Fearful,442.wav
Fearful,443.wav
Suprised,444.wav
Disgusted,445.wav
Angry,446.wav
Fearful,447.wav
Neutral,448.wav
Disgusted,449.wav
Disgusted,450.wav
Sad,451.wav
Disgusted,452.wav
Sad,453.wav
Sad,454.wav
Neutral,455.wav
Neutral,456.wav
Angry,457.wav
Disgusted,458.wav
Happy,459.wav
Neutral,460.wav
Fearful,461.wav
Suprised,462.wav
Happy,463.wav
Happy,464.wav
Neutral,465.wav
Disgusted,466.wav
Sad,467.wav
Disgusted,468.wav
Angry,469.wav
Sad,470.wav
Angry,471.wav
Happy,472.wav
Fearful,473.wav
Fearful,474.wav
Neutral,475.wav
Angry,476.wav
Fearful,477.wav
Neutral,478.wav
Sad,479.wav
Angry,480.wav
Sad,481.wav
Happy,482.wav
Happy,483.wav
Angry,484.wav
Sad,485.wav
Neutral,486.wav
Sad,487.wav
Angry,488.wav
Fearful,489.wav
Sad,490.wav
Neutral,491.wav
Happy,492.wav
Neutral,493.wav
Happy,494.wav
Angry,495.wav
Happy,496.wav
Neutral,497.wav
Happy,498.wav
Fearful,499.wav
Disgusted,500.wav
Fearful,501.wav
Happy,502.wav
Neutral,503.wav
Angry,504.wav
Fearful,505.wav
Happy,506.wav
Sad,507.wav
Fearful,508.wav
Disgusted,509.wav
Sad,510.wav
Sad,511.wav
Suprised,512.wav
Happy,513.wav
Suprised,514.wav
Fearful,515.wav
Disgusted,516.wav
Happy,517.wav
Happy,518.wav
Angry,519.wav
Happy,520.wav
Sad,521.wav
Fearful,522.wav
Disgusted,523.wav
Disgusted,524.wav
Disgusted,525.wav
Fearful,526.wav
Fearful,527.wav
Fearful,528.wav
Fearful,529.wav
Sad,530.wav
Suprised,531.wav
Angry,532.wav
Disgusted,533.wav
Angry,534.wav
Fearful,535.wav
Sad,536.wav
Happy,537.wav
Fearful,538.wav
Happy,539.wav
Happy,540.wav
Angry,541.wav
Fearful,542.wav
Happy,543.wav
Disgusted,544.wav
Fearful,545.wav
Fearful,546.wav
Angry,547.wav
Angry,548.wav
Disgusted,549.wav
Neutral,550.wav
Sad,551.wav
Disgusted,552.wav
Neutral,553.wav
Fearful,554.wav
Happy,555.wav
Fearful,556.wav
Disgusted,557.wav
Angry,558.wav
Angry,559.wav
Neutral,560.wav
Happy,561.wav
Disgusted,562.wav
Happy,563.wav
Sad,564.wav
Fearful,565.wav
Disgusted,566.wav
Happy,567.wav
Sad,568.wav
Neutral,569.wav
Sad,570.wav
Neutral,571.wav
Happy,572.wav
Angry,573.wav
Fearful,574.wav
Sad,575.wav
Happy,576.wav
Angry,577.wav
Fearful,578.wav
Sad,579.wav
Sad,580.wav
Angry,581.wav
Happy,582.wav
Neutral,583.wav
Happy,584.wav
Neutral,585.wav
Neutral,586.wav
Fearful,587.wav
Neutral,588.wav
Disgusted,589.wav
Happy,590.wav
Neutral,591.wav
Disgusted,592.wav
Fearful,593.wav
Sad,594.wav
Disgusted,595.wav
Disgusted,596.wav
Suprised,597.wav
Happy,598.wav
Disgusted,599.wav
Happy,600.wav
Happy,601.wav
Sad,602.wav
Sad,603.wav
Disgusted,604.wav
Happy,605.wav
Neutral,606.wav
Fearful,607.wav
Neutral,608.wav
Sad,609.wav
Fearful,610.wav
Neutral,611.wav
Sad,612.wav
Happy,613.wav
Sad,614.wav
Disgusted,615.wav
Fearful,616.wav
Sad,617.wav
Neutral,618.wav
Sad,619.wav
Suprised,620.wav
Angry,621.wav
Angry,622.wav
Angry,623.wav
Happy,624.wav
Neutral,625.wav
Happy,626.wav
Neutral,627.wav
Fearful,628.wav
Angry,629.wav
Disgusted,630.wav
Sad,631.wav
Sad,632.wav
Disgusted,633.wav
Fearful,634.wav
Fearful,635.wav
Happy,636.wav
Disgusted,637.wav
Disgusted,638.wav
Neutral,639.wav
Neutral,640.wav
Sad,641.wav
Happy,642.wav
Disgusted,643.wav
Happy,644.wav
Neutral,645.wav
Disgusted,646.wav
Sad,647.wav
Angry,648.wav
Neutral,649.wav
Neutral,650.wav
Fearful,651.wav
Angry,652.wav
Disgusted,653.wav
Fearful,654.wav
Fearful,655.wav
Fearful,656.wav
Fearful,657.wav
Sad,658.wav
Sad,659.wav
Fearful,660.wav
Sad,661.wav
Disgusted,662.wav
Happy,663.wav
Angry,664.wav
Fearful,665.wav
Neutral,666.wav
Sad,667.wav
Suprised,668.wav
Neutral,669.wav
Disgusted,670.wav
Happy,671.wav
Neutral,672.wav
Angry,673.wav
Fearful,674.wav
Neutral,675.wav
Angry,676.wav
Happy,677.wav
Sad,678.wav
Happy,679.wav
Sad,680.wav
Suprised,681.wav
Sad,682.wav
Disgusted,683.wav
Suprised,684.wav
Sad,685.wav
Disgusted,686.wav
Happy,687.wav
Disgusted,688.wav
Happy,689.wav
Fearful,690.wav
Disgusted,691.wav
Fearful,692.wav
Fearful,693.wav
Fearful,694.wav
Happy,695.wav
Sad,696.wav
Sad,697.wav
Happy,698.wav
Fearful,699.wav
Happy,700.wav
Neutral,701.wav
Fearful,702.wav
Happy,703.wav
Disgusted,704.wav
Sad,705.wav
Angry,706.wav
Sad,707.wav
Neutral,708.wav
Fearful,709.wav
Sad,710.wav
Fearful,711.wav
Angry,712.wav
Fearful,713.wav
Sad,714.wav
Angry,715.wav
Suprised,716.wav
Disgusted,717.wav
Angry,718.wav
Angry,719.wav
Fearful,720.wav
Happy,721.wav
Neutral,722.wav
Fearful,723.wav
Happy,724.wav
Neutral,725.wav
Sad,726.wav
Disgusted,727.wav
Suprised,728.wav
Fearful,729.wav
Angry,730.wav
Angry,731.wav
Angry,732.wav
Disgusted,733.wav
Disgusted,734.wav
Fearful,735.wav
Sad,736.wav
Neutral,737.wav
Happy,738.wav
Angry,739.wav
Happy,740.wav
Neutral,741.wav
Fearful,742.wav
Sad,743.wav
Sad,744.wav
Disgusted,745.wav
Sad,746.wav
Angry,747.wav
Disgusted,748.wav
Neutral,749.wav
Neutral,750.wav
Disgusted,751.wav
Neutral,752.wav
Neutral,753.wav
Disgusted,754.wav
Disgusted,755.wav
Neutral,756.wav
Neutral,757.wav
Fearful,758.wav
Neutral,759.wav
Angry,760.wav
Angry,761.wav
Sad,762.wav
Disgusted,763.wav
Happy,764.wav
Angry,765.wav
Happy,766.wav
Fearful,767.wav
Disgusted,768.wav
Angry,769.wav
Disgusted,770.wav
Sad,771.wav
Sad,772.wav
Sad,773.wav
Fearful,774.wav
Neutral,775.wav
Happy,776.wav
Fearful,777.wav
Sad,778.wav
Sad,779.wav
Disgusted,780.wav
Sad,781.wav
Angry,782.wav
Fearful,783.wav
Sad,784.wav
Happy,785.wav
Angry,786.wav
Angry,787.wav
Sad,788.wav
Happy,789.wav
Disgusted,790.wav
Sad,791.wav
Angry,792.wav
Angry,793.wav
Angry,794.wav
Disgusted,795.wav
Sad,796.wav
Sad,797.wav
Angry,798.wav
Suprised,799.wav
Suprised,800.wav
Angry,801.wav
Happy,802.wav
Fearful,803.wav
Neutral,804.wav
Happy,805.wav
Fearful,806.wav
Disgusted,807.wav
Disgusted,808.wav
Disgusted,809.wav
Happy,810.wav
Disgusted,811.wav
Suprised,812.wav
Happy,813.wav
Fearful,814.wav
Neutral,815.wav
Fearful,816.wav
Disgusted,817.wav
Happy,818.wav
Fearful,819.wav
Neutral,820.wav
Neutral,821.wav
Neutral,822.wav
Angry,823.wav
Disgusted,824.wav
Neutral,825.wav
Sad,826.wav
Neutral,827.wav
Disgusted,828.wav
Angry,829.wav
Sad,830.wav
Angry,831.wav
Disgusted,832.wav
Suprised,833.wav
Happy,834.wav
Angry,835.wav
Disgusted,836.wav
Angry,837.wav
Happy,838.wav
Sad,839.wav
Angry,840.wav
Disgusted,841.wav
Suprised,842.wav
Sad,843.wav
Fearful,844.wav
Angry,845.wav
Disgusted,846.wav
Happy,847.wav
Disgusted,848.wav
Fearful,849.wav
Happy,850.wav
Happy,851.wav
Neutral,852.wav
Neutral,853.wav
Neutral,854.wav
Angry,855.wav
Fearful,856.wav
Neutral,857.wav
Sad,858.wav
Happy,859.wav
Happy,860.wav
Suprised,861.wav
Happy,862.wav
Suprised,863.wav
Disgusted,864.wav
Sad,865.wav
Happy,866.wav
Disgusted,867.wav
Happy,868.wav
Disgusted,869.wav
Fearful,870.wav
Suprised,871.wav
Sad,872.wav
Happy,873.wav
Disgusted,874.wav
Sad,875.wav
Neutral,876.wav
Fearful,877.wav
Sad,878.wav
Happy,879.wav
Angry,880.wav
Suprised,881.wav
Disgusted,882.wav
Sad,883.wav
Sad,884.wav
Neutral,885.wav
Disgusted,886.wav
Neutral,887.wav
Angry,888.wav
Disgusted,889.wav
Happy,890.wav
Disgusted,891.wav
Angry,892.wav
Sad,893.wav
Angry,894.wav
Angry,895.wav
Sad,896.wav
Sad,897.wav
Happy,898.wav
Neutral,899.wav
Sad,900.wav
Happy,901.wav
Angry,902.wav
Happy,903.wav
Neutral,904.wav
Angry,905.wav
Neutral,906.wav
Fearful,907.wav
Disgusted,908.wav
Fearful,909.wav
Angry,910.wav
Happy,911.wav
Happy,912.wav
Fearful,913.wav
Happy,914.wav
Happy,915.wav
Happy,916.wav
Happy,917.wav
Sad,918.wav
Happy,919.wav
Sad,920.wav
Disgusted,921.wav
Angry,922.wav
Disgusted,923.wav
Angry,924.wav
Sad,925.wav
Fearful,926.wav
Happy,927.wav
Disgusted,928.wav
Disgusted,929.wav
Sad,930.wav
Happy,931.wav
Happy,932.wav
Neutral,933.wav
Suprised,934.wav
Sad,935.wav
Angry,936.wav
Neutral,937.wav
Disgusted,938.wav
Happy,939.wav
Angry,940.wav
Suprised,941.wav
Sad,942.wav
Fearful,943.wav
Angry,944.wav
Sad,945.wav
Fearful,946.wav
Fearful,947.wav
Suprised,948.wav
Happy,949.wav
Sad,950.wav
Happy,951.wav
Sad,952.wav
Happy,953.wav
Angry,954.wav
Disgusted,955.wav
Fearful,956.wav
Sad,957.wav
Happy,958.wav
Sad,959.wav
Angry,960.wav
Fearful,961.wav
Disgusted,962.wav
Neutral,963.wav
Suprised,964.wav
Angry,965.wav
Happy,966.wav
Sad,967.wav
Happy,968.wav
Happy,969.wav
Fearful,970.wav
Fearful,971.wav
Angry,972.wav
Sad,973.wav
Neutral,974.wav
Disgusted,975.wav
Disgusted,976.wav
Happy,977.wav
Happy,978.wav
Happy,979.wav
Disgusted,980.wav
Happy,981.wav
Angry,982.wav
Sad,983.wav
Neutral,984.wav
Fearful,985.wav
Happy,986.wav
Angry,987.wav
Happy,988.wav
Disgusted,989.wav
Happy,990.wav
Happy,991.wav
Disgusted,992.wav
Happy,993.wav
Disgusted,994.wav
Angry,995.wav
Fearful,996.wav
Suprised,997.wav
Angry,998.wav
Happy,999.wav
Disgusted,1000.wav
Fearful,1001.wav
Disgusted,1002.wav
Disgusted,1003.wav
Suprised,1004.wav
Happy,1005.wav
Fearful,1006.wav
Sad,1007.wav
Disgusted,1008.wav
Angry,1009.wav
Fearful,1010.wav
Happy,1011.wav
Angry,1012.wav
Happy,1013.wav
Disgusted,1014.wav
Neutral,1015.wav
Angry,1016.wav
Disgusted,1017.wav
Happy,1018.wav
Angry,1019.wav
Sad,1020.wav
Sad,1021.wav
Disgusted,1022.wav
Happy,1023.wav
Disgusted,1024.wav
Disgusted,1025.wav
Happy,1026.wav
Angry,1027.wav
Fearful,1028.wav
Neutral,1029.wav
Neutral,1030.wav
Sad,1031.wav
Happy,1032.wav
Fearful,1033.wav
Suprised,1034.wav
Happy,1035.wav
Happy,1036.wav
Fearful,1037.wav
Sad,1038.wav
Angry,1039.wav
Sad,1040.wav
Sad,1041.wav
Happy,1042.wav
Disgusted,1043.wav
Neutral,1044.wav
Sad,1045.wav
Disgusted,1046.wav
Neutral,1047.wav
Disgusted,1048.wav
Fearful,1049.wav
Sad,1050.wav
Fearful,1051.wav
Fearful,1052.wav
Sad,1053.wav
Suprised,1054.wav
Fearful,1055.wav
Sad,1056.wav
Sad,1057.wav
Angry,1058.wav
Disgusted,1059.wav
Happy,1060.wav
Angry,1061.wav
Angry,1062.wav
Disgusted,1063.wav
Happy,1064.wav
Disgusted,1065.wav
Sad,1066.wav
Angry,1067.wav
Sad,1068.wav
Neutral,1069.wav
Fearful,1070.wav
Neutral,1071.wav
Fearful,1072.wav
Suprised,1073.wav
Sad,1074.wav
Neutral,1075.wav
Neutral,1076.wav
Sad,1077.wav
Angry,1078.wav
Suprised,1079.wav
Fearful,1080.wav
Disgusted,1081.wav
Sad,1082.wav
Fearful,1083.wav
Fearful,1084.wav
Neutral,1085.wav
Angry,1086.wav
Fearful,1087.wav
Sad,1088.wav
Angry,1089.wav
Suprised,1090.wav
Neutral,1091.wav
Suprised,1092.wav
Fearful,1093.wav
Fearful,1094.wav
Angry,1095.wav
Happy,1096.wav
Fearful,1097.wav
Disgusted,1098.wav
Angry,1099.wav
Sad,1100.wav
Happy,1101.wav
Angry,1102.wav
Neutral,1103.wav
Happy,1104.wav
Angry,1105.wav
Disgusted,1106.wav
Suprised,1107.wav
Angry,1108.wav
Disgusted,1109.wav
Neutral,1110.wav
Neutral,1111.wav
Angry,1112.wav
Angry,1113.wav
Disgusted,1114.wav
Fearful,1115.wav
Sad,1116.wav
Angry,1117.wav
Fearful,1118.wav
Happy,1119.wav
Fearful,1120.wav
Neutral,1121.wav
Sad,1122.wav
Disgusted,1123.wav
Neutral,1124.wav
Neutral,1125.wav
Happy,1126.wav
Neutral,1127.wav
Neutral,1128.wav
Sad,1129.wav
Disgusted,1130.wav
Neutral,1131.wav
Angry,1132.wav
Fearful,1133.wav
Fearful,1134.wav
Fearful,1135.wav
Neutral,1136.wav
Fearful,1137.wav
Angry,1138.wav
Angry,1139.wav
Sad,1140.wav
Neutral,1141.wav
Happy,1142.wav
Sad,1143.wav
Happy,1144.wav
Fearful,1145.wav
Angry,1146.wav
Suprised,1147.wav
Suprised,1148.wav
Disgusted,1149.wav
Suprised,1150.wav
Disgusted,1151.wav
Sad,1152.wav
Sad,1153.wav
Fearful,1154.wav
Suprised,1155.wav
Disgusted,1156.wav
Fearful,1157.wav
Sad,1158.wav
Fearful,1159.wav
Disgusted,1160.wav
Neutral,1161.wav
Sad,1162.wav
Angry,1163.wav
Fearful,1164.wav
Sad,1165.wav
Neutral,1166.wav
Sad,1167.wav
Neutral,1168.wav
Neutral,1169.wav
Happy,1170.wav
Disgusted,1171.wav
Happy,1172.wav
Sad,1173.wav
Happy,1174.wav
Neutral,1175.wav
Happy,1176.wav
Happy,1177.wav
Suprised,1178.wav
Fearful,1179.wav
Fearful,1180.wav
Sad,1181.wav
Disgusted,1182.wav
Sad,1183.wav
Disgusted,1184.wav
Angry,1185.wav
Happy,1186.wav
Happy,1187.wav
Sad,1188.wav
Suprised,1189.wav
Happy,1190.wav
Sad,1191.wav
Neutral,1192.wav
Angry,1193.wav
Fearful,1194.wav
Disgusted,1195.wav
Happy,1196.wav
Neutral,1197.wav
Fearful,1198.wav
Neutral,1199.wav
Fearful,1200.wav
Fearful,1201.wav
Happy,1202.wav
Sad,1203.wav
Fearful,1204.wav
Angry,1205.wav
Suprised,1206.wav
Happy,1207.wav
Sad,1208.wav
Happy,1209.wav
Sad,1210.wav
Happy,1211.wav
Sad,1212.wav
Fearful,1213.wav
Neutral,1214.wav
Happy,1215.wav
Angry,1216.wav
Happy,1217.wav
Fearful,1218.wav
Disgusted,1219.wav
Happy,1220.wav
Sad,1221.wav
Neutral,1222.wav
Sad,1223.wav
Neutral,1224.wav
Happy,1225.wav
Fearful,1226.wav
Sad,1227.wav
Fearful,1228.wav
Fearful,1229.wav
Happy,1230.wav
Angry,1231.wav
Fearful,1232.wav
Neutral,1233.wav
Sad,1234.wav
Disgusted,1235.wav
Fearful,1236.wav
Sad,1237.wav
Disgusted,1238.wav
Happy,1239.wav
Happy,1240.wav
Neutral,1241.wav
Sad,1242.wav
Angry,1243.wav
Sad,1244.wav
Fearful,1245.wav
Fearful,1246.wav
Disgusted,1247.wav
Angry,1248.wav
Neutral,1249.wav
Fearful,1250.wav
Disgusted,1251.wav
Neutral,1252.wav
Sad,1253.wav
Happy,1254.wav
Disgusted,1255.wav
Angry,1256.wav
Fearful,1257.wav
Angry,1258.wav
Suprised,1259.wav
Disgusted,1260.wav
Fearful,1261.wav
Fearful,1262.wav
Angry,1263.wav
Angry,1264.wav
Neutral,1265.wav
Angry,1266.wav
Sad,1267.wav
Neutral,1268.wav
Happy,1269.wav
Happy,1270.wav
Happy,1271.wav
Suprised,1272.wav
Happy,1273.wav
Neutral,1274.wav
Angry,1275.wav
Fearful,1276.wav
Neutral,1277.wav
Fearful,1278.wav
Fearful,1279.wav
Disgusted,1280.wav
Disgusted,1281.wav
Happy,1282.wav
Sad,1283.wav
Happy,1284.wav
Happy,1285.wav
Neutral,1286.wav
Disgusted,1287.wav
Neutral,1288.wav
Fearful,1289.wav
Sad,1290.wav
Happy,1291.wav
Fearful,1292.wav
Happy,1293.wav
Happy,1294.wav
Sad,1295.wav
Sad,1296.wav
Angry,1297.wav
Happy,1298.wav
Sad,1299.wav
Neutral,1300.wav
Disgusted,1301.wav
Neutral,1302.wav
Angry,1303.wav
Happy,1304.wav
Fearful,1305.wav
Neutral,1306.wav
Neutral,1307.wav
Suprised,1308.wav
Disgusted,1309.wav
Sad,1310.wav
Neutral,1311.wav
Disgusted,1312.wav
Neutral,1313.wav
Suprised,1314.wav
Sad,1315.wav
Angry,1316.wav
Sad,1317.wav
Disgusted,1318.wav
Fearful,1319.wav
Disgusted,1320.wav
Happy,1321.wav
Happy,1322.wav
Fearful,1323.wav
Fearful,1324.wav
Happy,1325.wav
Neutral,1326.wav
Disgusted,1327.wav
Happy,1328.wav
Angry,1329.wav
Happy,1330.wav
Angry,1331.wav
Sad,1332.wav
Happy,1333.wav
Disgusted,1334.wav
Angry,1335.wav
Disgusted,1336.wav
Sad,1337.wav
Sad,1338.wav
Sad,1339.wav
Disgusted,1340.wav
Angry,1341.wav
Neutral,1342.wav
Disgusted,1343.wav
Neutral,1344.wav
Sad,1345.wav
Happy,1346.wav
Fearful,1347.wav
Angry,1348.wav
Angry,1349.wav
Disgusted,1350.wav
Sad,1351.wav
Sad,1352.wav
Fearful,1353.wav
Suprised,1354.wav
Angry,1355.wav
Fearful,1356.wav
Fearful,1357.wav
Happy,1358.wav
Fearful,1359.wav
Neutral,1360.wav
Disgusted,1361.wav
Disgusted,1362.wav
Fearful,1363.wav
Neutral,1364.wav
Fearful,1365.wav
Neutral,1366.wav
Fearful,1367.wav
Suprised,1368.wav
Angry,1369.wav
Sad,1370.wav
Neutral,1371.wav
Happy,1372.wav
Sad,1373.wav
Angry,1374.wav
Fearful,1375.wav
Angry,1376.wav
Happy,1377.wav
Neutral,1378.wav
Angry,1379.wav
Angry,1380.wav
Angry,1381.wav
Suprised,1382.wav
Angry,1383.wav
Disgusted,1384.wav
Neutral,1385.wav
Disgusted,1386.wav
Happy,1387.wav
Sad,1388.wav
Neutral,1389.wav
Disgusted,1390.wav
Angry,1391.wav
Sad,1392.wav
Sad,1393.wav
Sad,1394.wav
Neutral,1395.wav
Disgusted,1396.wav
Sad,1397.wav
Happy,1398.wav
Happy,1399.wav
Sad,1400.wav
Neutral,1401.wav
Angry,1402.wav
Neutral,1403.wav
Happy,1404.wav
Disgusted,1405.wav
Sad,1406.wav
